၁မည်းတော်,ခမည်းတော်
လုက္ခဏာ,လက္ခဏာ
လုပဲ,လုပ်
လုပ်ကျေး,လုပ်ကျွေး
လူဝင်းစား,လူဝင်စား
ဝက္ကု,ဝတ္ထု
ဝန်စံ,ဝန်ခံ
ဝါတဝဋ္ဌိ,ဝါတဝုဋ္ဌိ
ဝိစ္စာ,ဝိဇ္ဇာ
ဝိညူံ,ဝိညူ
ဝိဋကတ်,ပိဋကတ်
ဝီညာဉ်,ဝိညာဉ်
ဝုဒ္ဓဝါဒ,ဗုဒ္ဓဝါဒ
ဝေဋ္ဌု၊,ဝေဠု
သခီတံ,သင်္ခါတံ
သံဃဘောဒက,သံဃဘေဒက
သင်ထို့,သင်တို့
သင်ဟို့,သင်တို့
သင်္ဂန်း,သင်္ကန်း
သင်္ဂါယံနာ,သင်္ဂါယနာ
သင်္ဂါလောဝါဒ,သိင်္ဂါလောဝါဒ
သဉ္စရိတ္ထ,သဉ္စရိတ္တ
သညဲ,သည်
သည်းစုံ,သည်းခံ
သတ္တံဝါ,သတ္တဝါ
သပား,သမား
သဘာတူညီမှု,သဘောတူညီမှု
သမ္ပစာန,သမ္ပဇာန
သမ္ပဇန,သမ္ပဇာန
သမ္ပုတိ,သမ္မုတိ
သံသာရာ,သံသရာ
သှား,သွား
သံဠာယတန,သဠာယတန
သာဒီဝ,သာဇီဝ
သာ့လျှင်,သာလျှင်
သာဝတ္တိ,သာဝတ္ထိ
သာဝတ္တ်,သာဝတ္ထိ
သုတစ်ပါး,သူတစ်ပါး
သူစိယရ,သူစိဃရ
သူတော်တောင်း,သူတော်ကောင်း
သေဈျာ,သေချာ
သေးဈေ,သေးချေ
သေရျာစွာ,သေချာစွာ
ဟလဲလဲ,တလဲလဲ
ဟဿိ,ယဿိ
အကျင့်သီလံ,အကျင့်သီလ
အံကျယ်,အကျယ်
အချင်ချင်း,အချင်းချင်း
အချည်းနီး,အချည်းနှီး
အင်းပျဉ်း,အင်းပျဉ်
အင်္ဂုက္ကရ,အင်္ဂုတ္တရ
အစါ,အခါ
အစါ၌မူ,အခါ၌
အစီးအပ္ပား,အစီးအပွား
